filename,nbWord,nbConcepts,nbUniqueConcepts,conceptsWordsRatio,uniqueConceptsWordsRatio,nbNodes,radius,diameter,assortativity,density,textDensityMean,textDensityStd,nbTypesMean,nbTypesStd,nbLinkInMean,nbLinkInStd,nbLinkOutMean,nbLinkOutStd,nbNodes_DBPedia,density_DBPedia,nbNodes_Schema,density_Schema,nbNodes_yago,density_yago
455,2325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
153,926.0,123.0,75.0,0.132829373650108,0.08099352051835854,789.0,5.0,9.0,-0.3065730880850083,0.0076849832403672325,2.2081116653940907,2.9988471741557,25.8,19.328735085359313,4524.08,17017.60189197056,331.92,270.3020907552634,130.0,0.02945736434108527,90.0,0.018476903870162296,715.0,0.00800767859591389
145,364.0,29.0,16.0,0.07967032967032966,0.04395604395604396,146.0,4.0,6.0,-0.314313057326865,0.03401039206424185,5.332097339046868,5.855141691497718,16.75,11.755317945508747,3338.25,5953.390950752352,381.8125,266.83028753076366,35.0,0.08739495798319327,27.0,0.06267806267806268,112.0,0.04247104247104247
731,1278.0,168.0,70.0,0.13145539906103287,0.054773082942097026,476.0,4.0,6.0,-0.06620570275722598,0.014029190623617868,2.7499193071916976,4.175201468783723,19.414285714285715,14.529273757430802,30776.457142857143,85616.85914362657,466.4428571428571,499.67757134588544,106.0,0.0380952380952381,83.0,0.018806935057302382,423.0,0.0143636628460668
268,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
653,2903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
443,2137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
457,592.0,63.0,40.0,0.10641891891891891,0.06756756756756757,357.0,4.0,7.0,-0.10918063554529149,0.01740471469486671,3.277365909189691,4.653704886782906,23.75,13.179055353097201,9876.125,32906.124221934355,281.25,311.36616306207713,76.0,0.05052631578947368,53.0,0.03193033381712627,304.0,0.019476289734236582
729,691.0,94.0,39.0,0.13603473227206947,0.056439942112879886,522.0,4.0,8.0,-0.20901445313012898,0.010236724248240563,3.421504491464216,4.577249826580621,25.41025641025641,17.616597577019917,2056.4358974358975,6059.015303745244,304.02564102564105,213.83860283046772,67.0,0.03618272274988693,54.0,0.02236198462613557,476.0,0.011154356479433879
1003,2868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
